"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
374527,"剧情",2025,107,5.6,43,0.9048,"Non_High_Revenue"
140825,"恐怖",2025,80,5.557,149,4.1131,"Non_High_Revenue"
94753,"喜剧",2025,123,7,1,0.5002,"Non_High_Revenue"
124630,"纪录",2025,96,0,0,0.3264,"Non_High_Revenue"
17429492,"家庭",2025,104,7.6,770,19.8416,"High_Revenue"
2187982,"恐怖",2025,131,7.7,16,0.5957,"Non_High_Revenue"
511494,"爱情",2025,111,6.953,86,1.5014,"Non_High_Revenue"
507211,"剧情",2025,110,6,6,1.1292,"Non_High_Revenue"
237668,"剧情",2025,120,7,6,0.803,"Non_High_Revenue"
88958,"惊悚",2025,86,5.2,4,0.7946,"Non_High_Revenue"
1735650,"纪录",2025,98,6,1,0.1435,"Non_High_Revenue"
70885696,"科幻",2025,115,6.956,3301,24.9913,"High_Revenue"
741761,"动画",2025,85,6.66,50,4,"Non_High_Revenue"
78508397,"动作",2025,120,6.9,86,5.8552,"High_Revenue"
278960,"纪录",2025,90,7.3,6,0.3332,"Non_High_Revenue"
77130,"纪录",2025,212,6.7,12,0.6451,"Non_High_Revenue"
64900,"纪录",2025,212,6.7,12,0.6451,"Non_High_Revenue"
58433185,"冒险",2025,105,7.949,39,6.3956,"High_Revenue"
4150452,"动画",2025,89,5.8,262,9.1572,"Non_High_Revenue"
2933862,"恐怖",2025,111,5.7,762,5.5566,"Non_High_Revenue"
2904097,"剧情",2025,92,5.5,15,1.5858,"Non_High_Revenue"
2292144,"剧情",2025,86,7.5,4,1.0889,"Non_High_Revenue"
1150091,"动作",2025,120,6.536,83,3.1551,"Non_High_Revenue"
316375,"爱情",2025,120,6.885,48,1.4903,"Non_High_Revenue"
309728,"喜剧",2025,89,6.898,44,0.9529,"Non_High_Revenue"
212695,"恐怖",2025,95,5.7,3,0.1346,"Non_High_Revenue"
152794,"纪录",2025,99,7.5,1,0.1801,"Non_High_Revenue"
72298,"剧情",2025,100,7.5,6,1.2923,"Non_High_Revenue"
1844947,"恐怖",2025,119,0,0,0.1409,"Non_High_Revenue"
1693699,"剧情",2025,124,7.192,26,1.5507,"Non_High_Revenue"
352042,"剧情",2025,118,6.8,63,2.7918,"Non_High_Revenue"
288339,"剧情",2025,92,8.5,2,0.4796,"Non_High_Revenue"
269311,"剧情",2025,119,6.2,4,0.7329,"Non_High_Revenue"
74805,"喜剧",2025,96,6.68,64,1.07,"Non_High_Revenue"
3437690,"音乐",2025,80,0,0,0.2512,"Non_High_Revenue"
1827150,"音乐",2025,77,0,0,0.3264,"Non_High_Revenue"
